author,content,country,date_time,id,language,latitude,longitude,number_of_likes,number_of_shares
britneyspears,Let's spread the Valentine's Day love a little farther this year. Giving away 100 signed T's today to benefit @NVCCF! http://t.co/KWSx6qWMqF,,10/02/2015 23:58,5.65299e+17,en,,,5599,3228
britneyspears,"For all of you who haven’t gotten your copy yet of #BritneyJean, it's available at @GooglePlay ! http://t.co/NgGwOf2RpS",,07/12/2013 20:03,4.09413e+17,en,,,877,790
britneyspears,@CassPiamyheroes Get it girl! #BritneyJeanListeningParty,,05/12/2013 19:26,4.08679e+17,en,,,149,106
cnnbrk,OLYMPICS: Puerto Rico wins first-ever gold with Monica Puig's win in women's tennis singles https://t.co/onLD8xOHcF https://t.co/qeX8QhUjaX,,13/08/2016 23:16,7.64601e+17,en,,,3099,1570
cnnbrk,"Correction: Chicago police move to fire 5 officers, not 6, as earlier reported. https://t.co/xcY0wVcChh https://t.co/FtY4YZ63UG",,31/08/2016 00:43,7.70784e+17,en,,,312,275
cnnbrk,The 4-year-old Florida girl whose abduction set off Amber Alerts in five states has been found safe… https://t.co/MhPhmFMWmV,,10/10/2016 20:16,7.85575e+17,en,,,2139,592
cnnbrk,2 former allies of Gov. Chris Christie were found guilty on all charges in connection with Bridgegate lane closures… https://t.co/WN6tdbpZFM,,04/11/2016 15:46,7.94567e+17,en,,,647,389
cnnbrk,"Actor Brad Pitt has been cleared of wrongdoing by officials after a child abuse investigation, a source said… https://t.co/oUbrB19YPn",,09/11/2016 23:24,7.96494e+17,en,,,1733,425
cnnbrk,"A tornado tore through Alabama &amp; killed 3 people and injured multiple others, officials say. https://t.co/ZNbDxvSbee",,30/11/2016 08:37,8.03881e+17,en,,,354,410
cnnbrk,"Author W.P. Kinsella, whose book inspired the movie “Field of Dreams,” has died at age 81. https://t.co/n79cpd5ubn https://t.co/E2DtE8yvqe",,17/09/2016 10:06,7.77086e+17,en,,,550,354
cnnbrk,"University of Minnesota football team agrees to play in the Holiday Bowl after threatening to skip it, team says. https://t.co/QLZzgA60ag",,17/12/2016 17:17,8.10172e+17,en,,,249,132
cnnbrk,Actor Ben Stiller reveals he was diagnosed with prostate cancer in 2014. https://t.co/A8yfBp4p3B https://t.co/i7NTjwjGPJ,,04/10/2016 20:49,7.83409e+17,en,,,750,534
cnnbrk,"Baton Rouge officer Montrell Jackson was 1 of 3 officers killed Sunday, family member says. https://t.co/dp4iHaUgRh https://t.co/jkFF8MXfsB",,17/07/2016 23:30,7.54821e+17,en,,,946,778
cnnbrk,"Deputy killed in officer-involved shooting in Byron, Georgia, officials say. https://t.co/o0tOCuyDnj https://t.co/1qF5zYgbcb",,07/11/2016 02:56,7.9546e+17,en,,,264,247
cnnbrk,"Tour bus that crashed into a freight truck in California resulted in 13 fatalities and 31 injuries, official says.… https://t.co/XdrHWzCETm",,23/10/2016 21:04,7.90298e+17,en,,,305,322
cnnbrk,"Nephew of Berlin market attack suspect Anis Amri is among 3 arrested in Tunisia, country’s Interior Ministry says. https://t.co/b35AXIXfJq",,24/12/2016 13:13,8.12647e+17,en,,,329,244
